Author A,Author B,S(A and B),S(A),S(B),A => B confidence,B => A confidence,Jaccard,Cosine,Kulc,IR,years
Dong Yi,Stan Z. Li,20,20,102,1.0,0.19607843137254902,0.19607843137254902,0.4428074427700477,0.5980392156862745,0.803921568627451,"{2013: 7, 2014: 4, 2015: 5, 2016: 1, 2017: 1, 2018: 1, 2019: 1}"
Felix Weninger,Björn W. Schuller,25,25,122,1.0,0.20491803278688525,0.20491803278688525,0.45267873021259264,0.6024590163934427,0.7950819672131147,"{2013: 10, 2014: 7, 2015: 2, 2016: 2, 2017: 1, 2018: 1, 2019: 1, 2020: 1}"
Florian Eyben,Björn W. Schuller,22,22,122,1.0,0.18032786885245902,0.18032786885245902,0.4246502900652006,0.5901639344262295,0.819672131147541,"{2013: 7, 2014: 6, 2015: 3, 2016: 1, 2017: 2, 2018: 1, 2019: 1, 2020: 1}"
Sunil Gupta,Svetha Venkatesh,48,48,123,1.0,0.3902439024390244,0.3902439024390244,0.6246950475544243,0.6951219512195121,0.6097560975609756,"{2013: 3, 2014: 3, 2015: 7, 2016: 10, 2017: 6, 2018: 6, 2019: 8, 2020: 2, 2021: 1, 2022: 2}"
Santu Rana,Sunil Gupta,38,48,48,0.7916666666666666,0.7916666666666666,0.6551724137931034,0.7916666666666666,0.7916666666666666,0.0,"{2014: 2, 2015: 4, 2016: 8, 2017: 5, 2018: 6, 2019: 8, 2020: 2, 2021: 1, 2022: 2}"
Sunil Gupta,Santu Rana,38,48,48,0.7916666666666666,0.7916666666666666,0.6551724137931034,0.7916666666666666,0.7916666666666666,0.0,"{2014: 2, 2015: 4, 2016: 8, 2017: 5, 2018: 6, 2019: 8, 2020: 2, 2021: 1, 2022: 2}"
Lijia Ma,Maoguo Gong,20,20,86,1.0,0.23255813953488372,0.23255813953488372,0.48224282217041214,0.6162790697674418,0.7674418604651163,"{2013: 1, 2014: 5, 2015: 4, 2016: 4, 2017: 1, 2018: 3, 2019: 1, 2020: 1}"
Miska M. Hannuksela,Moncef Gabbouj,22,25,109,0.88,0.2018348623853211,0.19642857142857142,0.42144356549730666,0.5409174311926606,0.75,"{2013: 3, 2014: 5, 2015: 4, 2016: 6, 2017: 2, 2019: 2}"
Michael J. Fulham,Dagan Feng,49,50,169,0.98,0.28994082840236685,0.28823529411764703,0.5330497273560127,0.6349704142011834,0.7,"{2013: 10, 2014: 5, 2015: 6, 2016: 7, 2017: 10, 2018: 6, 2019: 5}"
Xiuying Wang,Dagan Feng,27,27,169,1.0,0.15976331360946747,0.15976331360946747,0.39970403251589476,0.5798816568047337,0.8402366863905325,"{2013: 7, 2014: 3, 2015: 2, 2016: 3, 2017: 2, 2018: 8, 2019: 2}"
