Author A,Author B,S(A and B),S(A),S(B),A => B confidence,B => A confidence,Jaccard,Cosine,Kulc,IR,years
Chunyu Lin,Yao Zhao,33,33,100,1,0.33,0.33,0.574456265,0.665,0.67,"{2013: 3, 2014: 3, 2015: 8, 2016: 4, 2017: 3, 2018: 4, 2019: 2, 2020: 1, 2021: 2, 2022: 3}"
Kim Jinman,Feng Dagan,36,36,121,1,0.297520661,0.297520661,0.545454545,0.648760331,0.702479339,"{2013: 4, 2014: 2, 2016: 9, 2017: 8, 2018: 6, 2019: 5, 2020: 1, 2021: 1}"
Slobodan Ilic,Nassir Navab,22,23,104,0.956521739,0.211538462,0.20952381,0.449823451,0.5840301,0.771428571,"{2014: 6, 2015: 4, 2016: 5, 2017: 2, 2018: 2, 2019: 2, 2022: 1}"
Wenjia Bai,Daniel Rueckert,26,26,88,1,0.295454545,0.295454545,0.543557307,0.647727273,0.704545455,"{2013: 3, 2014: 2, 2015: 7, 2016: 2, 2017: 6, 2018: 4, 2019: 2}"
Ruiqin Xiong,Wen Gao,32,39,156,0.820512821,0.205128205,0.196319018,0.41025641,0.512820513,0.717791411,"{2014: 6, 2015: 9, 2016: 3, 2017: 8, 2018: 4, 2019: 2}"
Ruiqin Xiong,Siwei Ma,26,39,117,0.666666667,0.222222222,0.2,0.384900179,0.444444444,0.6,"{2014: 7, 2015: 12, 2016: 2, 2017: 3, 2019: 2}"
Yongbing Zhang,Qionghai Dai,22,28,113,0.785714286,0.194690265,0.18487395,0.391114974,0.490202276,0.714285714,"{2013: 1, 2014: 5, 2015: 7, 2016: 5, 2017: 3, 2020: 1}"
Ben Glocker,Daniel Rueckert,21,24,88,0.875,0.238636364,0.230769231,0.456953847,0.556818182,0.703296703,"{2014: 1, 2015: 2, 2016: 5, 2017: 5, 2018: 6, 2019: 2}"
Gui-Song Xia,Liangpei Zhang,30,30,217,1,0.138248848,0.138248848,0.3718183,0.569124424,0.861751152,"{2013: 1, 2014: 4, 2015: 8, 2016: 6, 2017: 2, 2018: 5, 2019: 1, 2020: 1, 2021: 1, 2022: 1}"
Shuyuan Yang,Licheng Jiao,23,23,144,1,0.159722222,0.159722222,0.399652627,0.579861111,0.840277778,"{2013: 2, 2015: 5, 2016: 10, 2017: 2, 2018: 2, 2019: 2}"
Fang Liu,Licheng Jiao,28,28,144,1,0.194444444,0.194444444,0.440958552,0.597222222,0.805555556,"{2014: 2, 2015: 6, 2016: 9, 2017: 3, 2018: 6, 2019: 2}"
Xiangrong Zhang,Licheng Jiao,23,23,144,1,0.159722222,0.159722222,0.399652627,0.579861111,0.840277778,"{2014: 3, 2015: 3, 2016: 3, 2018: 6, 2019: 8}"
Wei Li,Qian Du,28,28,74,1,0.378378378,0.378378378,0.615124685,0.689189189,0.621621622,"{2014: 3, 2015: 9, 2016: 8, 2017: 4, 2019: 4}"
Biao Hou,Licheng Jiao,44,44,144,1,0.305555556,0.305555556,0.552770798,0.652777778,0.694444444,"{2014: 1, 2015: 6, 2016: 14, 2017: 6, 2018: 10, 2019: 6, 2020: 1}"
Xiangyu Zhang,Jian Sun,25,25,89,1,0.280898876,0.280898876,0.52999894,0.640449438,0.719101124,"{2015: 3, 2016: 1, 2017: 1, 2018: 3, 2019: 3, 2020: 2, 2021: 6, 2022: 6}"
Michael Zollhoefer,Christian Theobalt,23,23,89,1,0.258426966,0.258426966,0.508357125,0.629213483,0.741573034,"{2014: 1, 2015: 2, 2016: 4, 2017: 3, 2018: 8, 2019: 1, 2020: 4}"
Pan Jinshan,Ming-Hsuan Yang,20,21,167,0.952380952,0.119760479,0.119047619,0.337724146,0.536070716,0.869047619,"{2014: 2, 2016: 6, 2017: 1, 2018: 4, 2019: 2, 2020: 2, 2021: 1, 2022: 2}"
Torsten Sattler,Marc Pollefeys,22,23,75,0.956521739,0.293333333,0.289473684,0.529697754,0.624927536,0.684210526,"{2014: 1, 2015: 4, 2016: 3, 2017: 2, 2018: 4, 2019: 6, 2020: 1, 2021: 1}"
Hongsheng Li,Xiaogang Wang,30,34,119,0.882352941,0.25210084,0.243902439,0.471637486,0.567226891,0.691056911,"{2015: 1, 2016: 7, 2017: 3, 2018: 3, 2019: 7, 2021: 3, 2022: 6}"
Jie Zhou,Jiwen Lu,64,64,108,1,0.592592593,0.592592593,0.769800359,0.796296296,0.407407407,"{2015: 3, 2016: 4, 2017: 8, 2018: 13, 2019: 16, 2020: 5, 2021: 3, 2022: 12}"
Jianjiang Feng,Jiwen Lu,25,25,108,1,0.231481481,0.231481481,0.481125224,0.615740741,0.768518519,"{2015: 1, 2016: 1, 2017: 6, 2018: 10, 2019: 3, 2021: 2, 2022: 2}"
Jianjiang Feng,Jie Zhou,22,25,64,0.88,0.34375,0.328358209,0.55,0.611875,0.582089552,"{2015: 1, 2016: 1, 2017: 6, 2018: 9, 2019: 3, 2021: 1, 2022: 1}"
Federico Tombari,Nassir Navab,33,33,104,1,0.317307692,0.317307692,0.563300712,0.658653846,0.682692308,"{2015: 5, 2016: 5, 2017: 5, 2018: 7, 2019: 2, 2020: 2, 2022: 7}"
Shanshe Wang,Siwei Ma,32,33,117,0.96969697,0.273504274,0.271186441,0.51499152,0.621600622,0.711864407,"{2015: 3, 2016: 4, 2017: 3, 2018: 7, 2019: 11, 2021: 2, 2022: 2}"
Mathieu Salzmann,Pascal Fua,23,23,69,1,0.333333333,0.333333333,0.577350269,0.666666667,0.666666667,"{2016: 2, 2017: 1, 2018: 7, 2019: 5, 2020: 4, 2021: 2, 2022: 2}"
Jing Zhang,Dacheng Tao,25,25,188,1,0.132978723,0.132978723,0.364662479,0.566489362,0.867021277,"{2019: 2, 2020: 1, 2021: 2, 2022: 20}"
